NATE,DIAZ,23,1926,53.8,17,26.2,3,15,6,9
FRANKIE,EDGAR,21,1871,47.7,61,35.5,3,42,2,2
MICHAEL,BISPING,28,1749,42.9,26,43.3,8,15,2,0
NICK,DIAZ,14,1616,59.6,14,35.0,3,9,4,2
EVAN,DUNHAM,18,1489,45.1,26,34.7,2,18,1,1
DENNIS,SIVER,21,1474,45.7,13,33.3,7,32,5,2
NIK,LENTZ,17,1460,65.2,59,37.1,1,48,0,1
CAIN,VELASQUEZ,15,1446,69.5,34,43.6,9,30,0,0
DEMETRIOUS,JOHNSON,14,1442,62.4,59,50.9,3,32,2,3
DEMIAN,MAIA,24,1381,63.6,56,31.6,1,84,4,9
